d100Min,d100Max,Magic Item
1,5,Defender
6,10,Hammer of thunderbolts
11,15,Luck Blade
16,20,Sword of answering
21,23,Holy avenger
24,26,Ring of djinni summoning
27,29,Ring of invisibility
30,35,Ring of spell turning
36,38,Rod of lordly might
39,41,Vorpal sword
42,43,Belt of cloud giant strength
44,45,Armor: +2 breastplate
46,47,Armor: +3 chain mail
48,49,Armor: +3 chain shirt
50,51,Cloak of invisibility
52,53,Crystal ball (legendary version)
54,55,Armor: + 1 half plate
56,57,Iron flask
58,59,Armor: +3 leather
60,61,Armor: +1 plate
62,63,Robe of the archmagi
64,65,Rod of resurrection
66,67,Armor: +1 scale mail
68,69,Scarab of protection
70,71,Armor: +2 splint
72,73,Armor: +2 studded leather
74,75,Well of many worlds
76,76,SubTableI
77,77,Apparatus of Kwalish
78,78,Armor of invulnerability
79,79,Belt of storm giant strength
80,80,Cubic gate
81,81,Deck of many things
82,82,Efreeti chain
83,83,Armor of resistance (half plate)
84,84,Horn of Valhalla (iron)
85,85,Instrument of the bards (OIIamh harp)
86,86,loun stone (greater absorption)
87,87,loun stone (mastery)
88,88,loun stone (regeneration)
89,89,Plate armor of etherealness
90,90,Plate armor of resistance
91,91,Ring of air elemental command
92,92,Ring of earth elemental command
93,93,Ring of fire elemental command
94,94,Ring of three wishes
95,95,Ring of water elemental command
96,96,Sphere of annihilation
97,97,Talisman of pure good
98,98,Talisman of the sphere
99,99,Talisman of ultimate evil
100,100,Tome of the stilled tongue
